City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,uturoa,-16.7333,-151.4333,25.629999999999995,82,99,3.92,PF,1726524656
1,praia da vitoria,38.7333,-27.0667,23.200000000000045,88,100,6.37,PT,1726524657
2,edinburgh of the seven seas,-37.0676,-12.3116,10.260000000000048,67,26,17.28,SH,1726524658
3,blackmans bay,-43.0167,147.3167,9.29000000000002,67,97,0.45,AU,1726524659
4,georgetown,5.4112,100.3354,25.960000000000036,89,40,1.03,MY,1726524660
5,kirkland lake,48.1446,-80.0377,26.27000000000004,50,13,2.62,CA,1726524662
6,bilibino,68.0546,166.4372,0.1500000000000341,89,98,1.43,RU,1726524663
7,waitangi,-43.9535,-176.5597,12.120000000000005,96,100,5.36,NZ,1726524664
8,petropavlovsk-kamchatsky,53.0452,158.6483,6.330000000000041,65,20,4.0,RU,1726524665
9,nova sintra,14.8667,-24.7167,26.629999999999995,74,17,5.66,CV,1726524666
10,calama,-22.4667,-68.9333,22.27000000000004,5,0,10.29,CL,1726524667
11,makoua,0.0069,15.6333,21.200000000000045,94,100,1.3,CG,1726524668
12,port mathurin,-19.6833,63.4167,21.450000000000045,74,81,11.08,MU,1726524669
13,invercargill,-46.4,168.35,6.1200000000000045,72,98,5.36,NZ,1726524670
14,avarua,-21.2078,-159.775,26.03000000000003,73,20,6.17,CK,1726524672
15,nastola,60.95,25.9333,14.450000000000045,92,100,0.86,FI,1726524673
16,port-aux-francais,-49.35,70.2167,4.480000000000018,95,100,15.99,TF,1726524262
17,malango,-2.9627,119.9001,17.590000000000032,99,90,0.98,ID,1726524675
18,viana do castelo,41.6932,-8.8329,21.110000000000014,41,27,2.45,PT,1726524676
19,sumqayit,40.5897,49.6686,21.870000000000005,52,97,0.8,AZ,1726524677
20,istgah-e rah ahan-e garmsar,35.2346,52.3094,24.970000000000027,35,48,4.06,IR,1726524678
21,ilulissat,69.2167,-51.1,2.0100000000000477,80,100,1.54,GL,1726524296
22,mar del plata,-38.0023,-57.5575,11.640000000000043,76,0,3.13,AR,1726524680
23,howrah,22.5892,88.3103,27.0,100,75,2.06,IN,1726524443
24,island harbour,50.724,-1.2758,13.900000000000034,77,72,4.52,GB,1726524683
25,namibe,-15.1961,12.1522,17.980000000000018,88,48,1.54,AO,1726524684
26,puerto natales,-51.7236,-72.4875,8.25,71,75,10.29,CL,1726524349
27,sola,-13.8833,167.55,25.29000000000002,86,100,11.63,VU,1726524686
28,goroka,-6.0834,145.3873,16.52000000000004,98,69,0.74,PG,1726524687
29,necochea,-38.5473,-58.7368,8.920000000000016,72,0,3.65,AR,1726524688
30,kwaksan,39.6875,125.0828,20.910000000000025,92,0,2.03,KP,1726524689
31,bethel,41.3712,-73.414,22.55000000000001,71,0,2.57,US,1726524286
32,jincheng,35.5022,112.8328,20.150000000000034,79,4,0.91,CN,1726524692
33,chonchi,-42.6128,-73.8092,11.730000000000018,78,99,0.46,CL,1726524297
34,gadzhiyevo,69.2551,33.3362,8.860000000000014,87,97,4.44,RU,1726524275
35,adamstown,-25.066,-130.1015,19.30000000000001,84,100,8.72,PN,1726524303
36,hermanus,-34.4187,19.2345,8.220000000000027,79,0,3.63,ZA,1726524696
37,okhotsk,59.3833,143.3,8.200000000000045,69,79,2.28,RU,1726524697
38,moyynkum,44.2914,72.9469,14.629999999999995,44,95,11.91,KZ,1726524698
39,tiksi,71.6872,128.8694,1.2100000000000364,94,100,4.75,RU,1726524332
40,boueni,-12.9025,45.0761,22.99000000000001,78,7,3.35,YT,1726524701
41,iskateley,67.6803,53.1512,13.890000000000043,80,92,3.74,RU,1726524491
42,florence,43.7667,11.25,19.82000000000005,53,75,2.06,IT,1726524497
43,punta arenas,-53.15,-70.9167,9.060000000000002,61,0,11.83,CL,1726524337
44,alofi,-19.0595,-169.9187,25.939999999999998,78,75,2.57,NU,1726524705
45,iida,35.5197,137.8207,23.910000000000025,100,90,0.45,JP,1726524707
46,pico truncado,-46.7949,-67.9573,11.160000000000025,44,100,11.72,AR,1726524708
47,castillos,-34.1667,-53.8333,13.850000000000023,75,0,1.85,UY,1726524709
48,hagere maryam,5.6333,38.2333,16.32000000000005,78,100,2.04,ET,1726524711
49,omaruru,-21.4333,15.9333,12.970000000000027,27,0,1.37,NA,1726524712
50,lihue,21.9789,-159.3672,29.77000000000004,73,75,7.2,US,1726524713
51,santa isabel,-23.3156,-46.2214,16.610000000000014,95,99,2.29,BR,1726524714
52,port shepstone,-30.7414,30.455,17.840000000000032,85,100,1.68,ZA,1726524716
53,ternate,0.8,127.4,26.74000000000001,85,100,4.57,ID,1726524717
54,albany,42.6001,-73.9662,25.24000000000001,50,66,1.86,US,1726524273
55,adam,22.3756,57.5233,27.620000000000005,53,2,2.45,OM,1726524719
56,chinchilla,-26.75,150.6333,15.57000000000005,47,0,0.45,AU,1726524720
57,george town,5.4112,100.3354,25.960000000000036,89,40,1.03,MY,1726524660
58,labrador city,52.9463,-66.9114,16.430000000000007,81,76,4.7,CA,1726524643
59,yellowknife,62.456,-114.3525,16.340000000000032,80,75,2.57,CA,1726524316
60,grytviken,-54.2811,-36.5092,-1.9799999999999613,81,37,5.68,GS,1726524321
61,nizhneudinsk,54.9076,99.0276,1.3700000000000045,94,100,1.46,RU,1726524726
62,nagqu,31.5,92.0,2.1100000000000136,85,11,1.67,CN,1726524727
63,kerikeri,-35.2268,173.9474,8.770000000000039,92,90,4.07,NZ,1726524728
64,hamilton,39.1834,-84.5333,30.900000000000034,34,0,4.12,US,1726524507
65,ash shafa,21.0694,40.3119,22.230000000000018,36,2,0.38,SA,1726524730
66,mayya,61.7333,130.2811,-0.839999999999975,87,51,2.62,RU,1726524732
67,abepura,-2.6333,140.5833,27.450000000000045,83,40,2.06,ID,1726524733
68,banda aceh,5.5577,95.3222,26.75,77,100,8.1,ID,1726524734
69,whitehorse,60.7161,-135.0538,9.450000000000045,66,75,3.6,CA,1726524735
70,yung shue wan,22.2333,114.1167,29.79000000000002,82,100,3.88,HK,1726524736
71,nyurba,63.2842,118.3319,-0.7999999999999545,89,73,3.74,RU,1726524737
72,papatowai,-46.5619,169.4708,4.360000000000014,76,100,7.42,NZ,1726524362
73,lalmonirhat,25.9124,89.4473,26.010000000000048,83,100,2.15,BD,1726524739
74,murudeshwara,14.0943,74.4845,25.310000000000002,83,84,1.7,IN,1726524740
75,port hedland,-20.3167,118.5667,23.03000000000003,25,0,5.14,AU,1726524741
76,tynda,55.1667,124.7167,3.660000000000025,84,100,5.17,RU,1726524743
77,afaahiti,-17.75,-149.2833,24.230000000000018,86,50,5.54,PF,1726524350
78,northam,51.0333,-4.2167,13.210000000000036,77,24,2.67,GB,1726524745
79,vorgashor,67.5833,63.95,12.270000000000039,95,99,3.42,RU,1726524747
80,xuddur,4.1213,43.8894,22.939999999999998,78,17,7.19,SO,1726524748
81,narasannapeta,18.4167,84.05,25.83000000000004,81,99,2.59,IN,1726524749
82,poshekhon'ye,58.4993,39.1353,13.710000000000036,80,67,1.74,RU,1726524750
83,bredasdorp,-34.5322,20.0403,8.430000000000007,87,0,1.11,ZA,1726524340
84,pointe-noire,-4.7761,11.8635,25.04000000000002,83,75,3.09,CG,1726524753
85,iqaluit,63.7506,-68.5145,2.8500000000000227,86,100,9.77,CA,1726524280
86,nar'yan-mar,67.6713,53.087,13.890000000000043,80,90,3.79,RU,1726524755
87,weno,7.4515,151.8468,28.970000000000027,84,100,2.57,FM,1726524756
88,campoverde,-8.4753,-74.8058,30.83000000000004,43,40,2.42,PE,1726524757
89,tura,25.5198,90.2201,23.510000000000048,91,98,1.27,IN,1726524758
90,torres,-29.3353,-49.7269,15.700000000000045,87,0,1.1,BR,1726524759
91,east london,-33.0153,27.9116,17.58000000000004,73,100,0.1,ZA,1726524501
92,ta`u,-14.2336,-169.5144,26.510000000000048,75,44,3.85,AS,1726524762
93,klyuchi,52.2667,79.1667,4.3799999999999955,69,50,3.39,RU,1726524266
94,murghob,38.1702,73.9667,4.520000000000039,57,84,1.94,TJ,1726524764
95,acarau,-2.8856,-40.12,25.470000000000027,77,0,7.89,BR,1726524446
96,leava,-14.3,-178.1667,26.460000000000036,79,95,3.14,WF,1726524766
97,arraial do cabo,-22.9661,-42.0278,21.620000000000005,91,64,7.96,BR,1726524768
98,ushuaia,-54.8,-68.3,9.810000000000002,53,40,6.17,AR,1726524272
99,urangan,-25.3,152.9,17.07000000000005,76,6,4.57,AU,1726524770
100,patong,7.8961,98.2966,26.120000000000005,99,100,10.49,TH,1726524772
101,hirara,24.8,125.2833,28.860000000000014,79,2,9.29,JP,1726524773
102,ust-nera,64.5667,143.2,2.390000000000043,74,100,2.77,RU,1726524357
103,olonkinbyen,70.9221,-8.7187,0.9800000000000182,78,100,3.67,SJ,1726524364
104,saint-philippe,-21.3585,55.7679,20.80000000000001,78,43,6.12,RE,1726524412
105,kaya,13.0917,-1.0844,26.78000000000003,75,37,3.33,BF,1726524777
106,egilsstadir,65.2653,-14.3948,8.950000000000045,76,100,2.06,IS,1726524335
107,aykol,38.1751,77.2132,19.730000000000018,36,1,3.73,CN,1726524779
108,vilyuysk,63.7553,121.6247,-0.07999999999998408,86,80,4.31,RU,1726524780
109,wailua homesteads,22.0669,-159.378,29.439999999999998,78,75,7.2,US,1726524420
110,remire-montjoly,4.9167,-52.2667,29.02000000000004,74,0,3.09,GF,1726524416
111,okha,53.5739,142.9478,11.970000000000027,83,100,2.41,RU,1726524784
112,kapuskasing,49.4169,-82.4331,29.05000000000001,54,75,8.75,CA,1726524278
113,benguela,-12.5763,13.4055,21.720000000000027,88,94,1.51,AO,1726524786
114,quibala,-10.7337,14.98,21.04000000000002,78,89,1.03,AO,1726524787
115,boulsa,12.6675,-0.5758,26.170000000000016,79,32,2.77,BF,1726524788
116,hawaiian paradise park,19.5933,-154.9731,29.370000000000005,78,75,5.14,US,1726524383
117,meadow lake,34.8014,-106.5436,27.400000000000034,23,14,9.16,US,1726524792
118,laboulaye,-34.1266,-63.3912,23.410000000000025,17,62,5.97,AR,1726524793
119,le port,-20.9373,55.2919,20.980000000000018,65,52,2.73,RE,1726524794
120,isafjordur,66.0755,-23.124,2.57000000000005,92,100,3.26,IS,1726524301
121,altay,47.8667,88.1167,8.689999999999998,50,57,2.08,CN,1726524796
